[2026-07-01T12:51:52.943+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2026-07-01T12:51:52.961+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: urban_data_pipeline.build_silver_gold scheduled__2026-06-01T00:00:00+00:00 [queued]>
[2026-07-01T12:51:52.970+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: urban_data_pipeline.build_silver_gold scheduled__2026-06-01T00:00:00+00:00 [queued]>
[2026-07-01T12:51:52.971+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 3
[2026-07-01T12:51:52.982+0000] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): build_silver_gold> on 2026-06-01 00:00:00+00:00
[2026-07-01T12:51:52.990+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'urban_data_pipeline', 'build_silver_gold', 'scheduled__2026-06-01T00:00:00+00:00', '--job-id', '141', '--raw', '--subdir', 'DAGS_FOLDER/urban_data_pipeline_dag.py', '--cfg-path', '/tmp/tmpl9iqyv5f']
[2026-07-01T12:51:52.995+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=257) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-07-01T12:51:52.995+0000] {standard_task_runner.py:105} INFO - Job 141: Subtask build_silver_gold
[2026-07-01T12:51:52.996+0000] {standard_task_runner.py:72} INFO - Started process 258 to run task
[2026-07-01T12:51:53.097+0000] {task_command.py:467} INFO - Running <TaskInstance: urban_data_pipeline.build_silver_gold scheduled__2026-06-01T00:00:00+00:00 [running]> on host 875a7b04857f
[2026-07-01T12:51:53.370+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='urban-data-explorer' AIRFLOW_CTX_DAG_ID='urban_data_pipeline' AIRFLOW_CTX_TASK_ID='build_silver_gold' AIRFLOW_CTX_EXECUTION_DATE='2026-06-01T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-06-01T00:00:00+00:00'
[2026-07-01T12:51:53.371+0000] {taskinstance.py:731} INFO - ::endgroup::
[2026-07-01T12:54:28.587+0000] {logging_mixin.py:190} INFO - silver_sales: silver_sales_yearly
[2026-07-01T12:54:28.587+0000] {logging_mixin.py:190} INFO - silver_sales_quartier: silver_sales_quartier_yearly
[2026-07-01T12:54:28.588+0000] {logging_mixin.py:190} INFO - silver_sales_iris: silver_sales_iris_yearly
[2026-07-01T12:54:28.589+0000] {logging_mixin.py:190} INFO - silver_sales_geocoded: silver_sales_geocoded
[2026-07-01T12:54:28.589+0000] {logging_mixin.py:190} INFO - silver_sales_street: silver_sales_street_yearly
[2026-07-01T12:54:28.590+0000] {logging_mixin.py:190} INFO - silver_sales_building: silver_sales_building_yearly
[2026-07-01T12:54:28.591+0000] {logging_mixin.py:190} INFO - silver_income: silver_income_arrondissement
[2026-07-01T12:54:28.591+0000] {logging_mixin.py:190} INFO - silver_rents: silver_rents_yearly
[2026-07-01T12:54:28.592+0000] {logging_mixin.py:190} INFO - silver_social: silver_social_yearly
[2026-07-01T12:54:28.593+0000] {logging_mixin.py:190} INFO - silver_noise: silver_noise_arrondissement
[2026-07-01T12:54:28.593+0000] {logging_mixin.py:190} INFO - gold_summary: gold_arrondissement_summary
[2026-07-01T12:54:28.594+0000] {logging_mixin.py:190} INFO - gold_sales: gold_sales_yearly
[2026-07-01T12:54:28.594+0000] {logging_mixin.py:190} INFO - gold_sales_quartier: gold_sales_quartier_yearly
[2026-07-01T12:54:28.595+0000] {logging_mixin.py:190} INFO - gold_sales_iris: gold_sales_iris_yearly
[2026-07-01T12:54:28.595+0000] {logging_mixin.py:190} INFO - gold_sales_geocoded: gold_sales_geocoded
[2026-07-01T12:54:28.596+0000] {logging_mixin.py:190} INFO - gold_sales_street: gold_sales_street_yearly
[2026-07-01T12:54:28.597+0000] {logging_mixin.py:190} INFO - gold_sales_building: gold_sales_building_yearly
[2026-07-01T12:54:28.598+0000] {logging_mixin.py:190} INFO - gold_social: gold_social_yearly
[2026-07-01T12:54:28.598+0000] {logging_mixin.py:190} INFO - gold_rents: gold_rents_yearly
[2026-07-01T12:54:28.599+0000] {logging_mixin.py:190} INFO - gold_income: gold_income_arrondissement
[2026-07-01T12:54:28.599+0000] {logging_mixin.py:190} INFO - gold_noise: gold_noise_arrondissement
[2026-07-01T12:54:28.600+0000] {logging_mixin.py:190} INFO - gold_geojson: gold_arrondissements_geojson
[2026-07-01T12:54:28.600+0000] {logging_mixin.py:190} INFO - gold_quartiers_geojson: gold_quartiers_geojson
[2026-07-01T12:54:28.601+0000] {logging_mixin.py:190} INFO - gold_streets_geojson: gold_streets_geojson
[2026-07-01T12:54:28.601+0000] {logging_mixin.py:190} INFO - gold_iris_geojson: gold_iris_geojson
[2026-07-01T12:54:28.601+0000] {logging_mixin.py:190} INFO - gold_spatial_coverage: gold_documents/gold_sales_spatial_coverage
[2026-07-01T12:54:28.602+0000] {logging_mixin.py:190} INFO - gold_dashboard: gold_documents/gold_dashboard_metadata
[2026-07-01T12:54:28.602+0000] {logging_mixin.py:190} INFO - lake:silver:sales_yearly: /opt/***/project/data/silver/sales_yearly
[2026-07-01T12:54:28.603+0000] {logging_mixin.py:190} INFO - lake:silver:sales_quartier_yearly: /opt/***/project/data/silver/sales_quartier_yearly
[2026-07-01T12:54:28.603+0000] {logging_mixin.py:190} INFO - lake:silver:sales_iris_yearly: /opt/***/project/data/silver/sales_iris_yearly
[2026-07-01T12:54:28.604+0000] {logging_mixin.py:190} INFO - lake:silver:sales_geocoded: /opt/***/project/data/silver/sales_geocoded
[2026-07-01T12:54:28.604+0000] {logging_mixin.py:190} INFO - lake:silver:sales_street_yearly: /opt/***/project/data/silver/sales_street_yearly
[2026-07-01T12:54:28.605+0000] {logging_mixin.py:190} INFO - lake:silver:sales_building_yearly: /opt/***/project/data/silver/sales_building_yearly
[2026-07-01T12:54:28.605+0000] {logging_mixin.py:190} INFO - lake:silver:income_arrondissement: /opt/***/project/data/silver/income_arrondissement
[2026-07-01T12:54:28.605+0000] {logging_mixin.py:190} INFO - lake:silver:rents_yearly: /opt/***/project/data/silver/rents_yearly
[2026-07-01T12:54:28.606+0000] {logging_mixin.py:190} INFO - lake:silver:social_yearly: /opt/***/project/data/silver/social_yearly
[2026-07-01T12:54:28.606+0000] {logging_mixin.py:190} INFO - lake:silver:noise_arrondissement: /opt/***/project/data/silver/noise_arrondissement
[2026-07-01T12:54:28.607+0000] {logging_mixin.py:190} INFO - lake:gold:arrondissement_summary: /opt/***/project/data/gold/arrondissement_summary
[2026-07-01T12:54:28.607+0000] {logging_mixin.py:190} INFO - lake:gold:sales_yearly: /opt/***/project/data/gold/sales_yearly
[2026-07-01T12:54:28.608+0000] {logging_mixin.py:190} INFO - lake:gold:sales_quartier_yearly: /opt/***/project/data/gold/sales_quartier_yearly
[2026-07-01T12:54:28.608+0000] {logging_mixin.py:190} INFO - lake:gold:sales_iris_yearly: /opt/***/project/data/gold/sales_iris_yearly
[2026-07-01T12:54:28.609+0000] {logging_mixin.py:190} INFO - lake:gold:sales_geocoded: /opt/***/project/data/gold/sales_geocoded
[2026-07-01T12:54:28.609+0000] {logging_mixin.py:190} INFO - lake:gold:sales_street_yearly: /opt/***/project/data/gold/sales_street_yearly
[2026-07-01T12:54:28.610+0000] {logging_mixin.py:190} INFO - lake:gold:sales_building_yearly: /opt/***/project/data/gold/sales_building_yearly
[2026-07-01T12:54:28.610+0000] {logging_mixin.py:190} INFO - lake:gold:social_yearly: /opt/***/project/data/gold/social_yearly
[2026-07-01T12:54:28.611+0000] {logging_mixin.py:190} INFO - lake:gold:rents_yearly: /opt/***/project/data/gold/rents_yearly
[2026-07-01T12:54:28.611+0000] {logging_mixin.py:190} INFO - lake:gold:income_arrondissement: /opt/***/project/data/gold/income_arrondissement
[2026-07-01T12:54:28.612+0000] {logging_mixin.py:190} INFO - lake:gold:noise_arrondissement: /opt/***/project/data/gold/noise_arrondissement
[2026-07-01T12:54:28.612+0000] {logging_mixin.py:190} INFO - constraint:gold_arrondissement_summary.PRIMARY: ok
[2026-07-01T12:54:28.612+0000] {logging_mixin.py:190} INFO - constraint:gold_sales_yearly.PRIMARY: ok
[2026-07-01T12:54:28.613+0000] {logging_mixin.py:190} INFO - constraint:gold_income_arrondissement.PRIMARY: ok
[2026-07-01T12:54:28.613+0000] {logging_mixin.py:190} INFO - constraint:gold_rents_yearly.PRIMARY: ok
[2026-07-01T12:54:28.614+0000] {logging_mixin.py:190} INFO - constraint:gold_social_yearly.PRIMARY: ok
[2026-07-01T12:54:28.615+0000] {logging_mixin.py:190} INFO - constraint:gold_noise_arrondissement.PRIMARY: ok
[2026-07-01T12:54:28.615+0000] {logging_mixin.py:190} INFO - constraint:gold_sales_quartier_yearly.idx_arrondissement_year: ok
[2026-07-01T12:54:28.615+0000] {logging_mixin.py:190} INFO - constraint:gold_sales_iris_yearly.idx_arrondissement_year: ok
[2026-07-01T12:54:28.616+0000] {logging_mixin.py:190} INFO - constraint:gold_sales_street_yearly.idx_arrondissement_year: ok
