Identifiant de document,Reference document,1 Articles CGI,2 Articles CGI,3 Articles CGI,4 Articles CGI,5 Articles CGI,No disposition,Date mutation,Nature mutation,Valeur fonciere,No voie,B/T/Q,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Prefixe de section,Section,No plan,No Volume,1er lot,Surface Carrez du 1er lot,2eme lot,Surface Carrez du 2eme lot,3eme lot,Surface Carrez du 3eme lot,4eme lot,Surface Carrez du 4eme lot,5eme lot,Surface Carrez du 5eme lot,Nombre de lots,Code type local,Type local,Identifiant local,Surface reelle bati,Nombre pieces principales,Nature culture,Nature culture speciale,Surface terrain
,,,,,,,000001,03/01/2025,Vente,"1500000,00",27,,RUE,8370,DES ROSIERS,75004,PARIS 04,75,104,,AJ,71,,10,"93,54",45,,,,,,,,2,4,Local industriel. commercial ou assimilé,,160,0,,,
,,,,,,,000001,03/01/2025,Vente,"430500,00",88,,RUE,5995,MARCADET,75018,PARIS 18,75,118,,BJ,92,,226,"49,48",227,"12,00",228,"49,48",237,,,,4,3,Dépendance,,0,0,,,
,,,,,,,000001,03/01/2025,Vente,"430500,00",88,,RUE,5995,MARCADET,75018,PARIS 18,75,118,,BJ,92,,226,"49,48",227,"12,00",228,"49,48",237,,,,4,2,Appartement,,48,3,,,
,,,,,,,000001,03/01/2025,Vente,"527700,00",161,,RUE,5995,MARCADET,75018,PARIS 18,75,118,,AV,32,,166,"42,63",46,,,,,,,,2,2,Appartement,,40,1,,,
,,,,,,,000001,03/01/2025,Vente,"527700,00",161,,RUE,5995,MARCADET,75018,PARIS 18,75,118,,AV,32,,166,"42,63",46,,,,,,,,2,3,Dépendance,,0,0,,,
,,,,,,,000001,03/01/2025,Vente,"527700,00",161,,RUE,5995,MARCADET,75018,PARIS 18,75,118,,AV,32,,166,"42,63",46,,,,,,,,2,3,Dépendance,,0,0,,,
,,,,,,,000001,06/01/2025,Vente,"383000,00",78,,RUE,0398,DE L AQUEDUC,75010,PARIS 10,75,110,,AF,27,,15,"50,10",332,,,,,,,,2,3,Dépendance,,0,0,,,
,,,,,,,000001,06/01/2025,Vente,"383000,00",78,,RUE,0398,DE L AQUEDUC,75010,PARIS 10,75,110,,AF,27,,15,"50,10",332,,,,,,,,2,2,Appartement,,50,2,,,
,,,,,,,000002,03/01/2025,Vente,"199000,00",199,,RUE,8525,SAINT-DENIS,75002,PARIS 02,75,102,,AM,50,,58,,59,,60,,,,,,3,3,Dépendance,,0,0,,,
,,,,,,,000002,03/01/2025,Vente,"199000,00",199,,RUE,8525,SAINT-DENIS,75002,PARIS 02,75,102,,AM,50,,58,,59,,60,,,,,,3,2,Appartement,,117,5,,,
,,,,,,,000002,03/01/2025,Vente,"199000,00",199,,RUE,8525,SAINT-DENIS,75002,PARIS 02,75,102,,AM,50,,58,,59,,60,,,,,,3,3,Dépendance,,0,0,,,
,,,,,,,000002,03/01/2025,Vente,"199000,00",199,,RUE,8525,SAINT-DENIS,75002,PARIS 02,75,102,,AM,50,,58,,59,,60,,,,,,3,3,Dépendance,,0,0,,,
,,,,,,,000002,03/01/2025,Vente,"199000,00",199,,RUE,8525,SAINT-DENIS,75002,PARIS 02,75,102,,AM,50,,68,,,,,,,,,,1,2,Appartement,,16,1,,,
,,,,,,,000001,07/01/2025,Vente,"345000,00",18,,RUE,4176,GERMAIN PILON,75018,PARIS 18,75,118,,AR,78,,159,"32,27",,,,,,,,,1,2,Appartement,,32,3,,,
,,,,,,,000001,06/01/2025,Vente,"690000,00",38,,RUE,6573,DE MOSCOU,75008,PARIS 08,75,108,,CE,54,,51,"64,61",61,,,,,,,,2,2,Appartement,,57,3,,,
,,,,,,,000001,06/01/2025,Vente,"690000,00",38,,RUE,6573,DE MOSCOU,75008,PARIS 08,75,108,,CE,54,,51,"64,61",61,,,,,,,,2,3,Dépendance,,0,0,,,
,,,,,,,000001,03/01/2025,Vente,"228000,00",26,,RUE,2063,CLAIRAUT,75017,PARIS 17,75,117,,CS,81,,16,"22,05",,,,,,,,,1,2,Appartement,,22,2,,,
,,,,,,,000001,07/01/2025,Vente,"30000,00",6,,RUE,4483,DES HAUDRIETTES,75003,PARIS 03,75,103,,AR,5,,331,,,,,,,,,,1,3,Dépendance,,0,0,,,
,,,,,,,000001,06/01/2025,Vente,"560000,00",6,,RUE,6214,MAURICE UTRILLO,75018,PARIS 18,75,118,,BN,39,,23,,4,"51,21",,,,,,,2,3,Dépendance,,0,0,,,
,,,,,,,000001,06/01/2025,Vente,"560000,00",6,,RUE,6214,MAURICE UTRILLO,75018,PARIS 18,75,118,,BN,39,,23,,4,"51,21",,,,,,,2,2,Appartement,,59,3,,,
,,,,,,,000001,07/01/2025,Vente,"790000,00",14,,RUE,9191,DU TEMPLE,75004,PARIS 04,75,104,,AF,30,,1043,,,,,,,,,,1,3,Dépendance,,0,0,,,
,,,,,,,000001,07/01/2025,Vente,"790000,00",14,,RUE,9191,DU TEMPLE,75004,PARIS 04,75,104,,AF,30,,1023,"72,10",,,,,,,,,1,2,Appartement,,24,2,,,
,,,,,,,000001,08/01/2025,Vente,"700000,00",16,,RUE,1567,CARPEAUX,75018,PARIS 18,75,118,,AK,7,,15,,4,"79,22",,,,,,,2,2,Appartement,,61,4,,,
,,,,,,,000001,08/01/2025,Vente,"700000,00",16,,RUE,1567,CARPEAUX,75018,PARIS 18,75,118,,AK,7,,15,,4,"79,22",,,,,,,2,4,Local industriel. commercial ou assimilé,,11,0,,,
,,,,,,,000001,07/01/2025,Vente,"543800,00",14,,RUE,9191,DU TEMPLE,75004,PARIS 04,75,104,,AF,30,,1042,,,,,,,,,,1,3,Dépendance,,0,0,,,
,,,,,,,000001,07/01/2025,Vente,"543800,00",14,,RUE,9191,DU TEMPLE,75004,PARIS 04,75,104,,AF,30,,1028,"45,00",,,,,,,,,1,2,Appartement,,16,1,,,
,,,,,,,000001,03/01/2025,Vente,"145000,00",33,,RUE,4798,JACQUES LOUVEL TESSIER,75010,PARIS 10,75,110,,BJ,74,,33,,6,,,,,,,,2,2,Appartement,,21,2,,,
,,,,,,,000001,02/01/2025,Vente,"748930,00",29,,RUE,2576,DARU,75008,PARIS 08,75,108,,AY,40,,105,"58,26",130,,,,,,,,2,3,Dépendance,,0,0,,,
,,,,,,,000001,02/01/2025,Vente,"748930,00",29,,RUE,2576,DARU,75008,PARIS 08,75,108,,AY,40,,105,"58,26",130,,,,,,,,2,2,Appartement,,58,3,,,
,,,,,,,000001,07/01/2025,Vente,"374800,00",22,,RUE,5764,LOUIS BLANC,75010,PARIS 10,75,110,,BX,5,,22,"37,47",,,,,,,,,1,2,Appartement,,28,2,,,
,,,,,,,000001,07/01/2025,Vente,"26000000,00",51,,RUE,6419,DE MONCEAU,75008,PARIS 08,75,108,,CM,18,,,,,,,,,,,,0,3,Dépendance,,0,0,S,,1316
,,,,,,,000001,07/01/2025,Vente,"26000000,00",51,,RUE,6419,DE MONCEAU,75008,PARIS 08,75,108,,CM,18,,,,,,,,,,,,0,2,Appartement,,172,5,S,,1316
,,,,,,,000001,07/01/2025,Vente,"26000000,00",51,,RUE,6419,DE MONCEAU,75008,PARIS 08,75,108,,CM,18,,,,,,,,,,,,0,2,Appartement,,63,2,S,,1316
,,,,,,,000001,07/01/2025,Vente,"26000000,00",51,,RUE,6419,DE MONCEAU,75008,PARIS 08,75,108,,CM,18,,,,,,,,,,,,0,2,Appartement,,60,2,S,,1316
,,,,,,,000001,07/01/2025,Vente,"26000000,00",51,,RUE,6419,DE MONCEAU,75008,PARIS 08,75,108,,CM,18,,,,,,,,,,,,0,2,Appartement,,27,2,S,,1316
,,,,,,,000001,07/01/2025,Vente,"26000000,00",51,,RUE,6419,DE MONCEAU,75008,PARIS 08,75,108,,CM,18,,,,,,,,,,,,0,3,Dépendance,,0,0,S,,1316
,,,,,,,000001,07/01/2025,Vente,"26000000,00",51,,RUE,6419,DE MONCEAU,75008,PARIS 08,75,108,,CM,18,,,,,,,,,,,,0,3,Dépendance,,0,0,S,,1316
,,,,,,,000001,07/01/2025,Vente,"26000000,00",51,,RUE,6419,DE MONCEAU,75008,PARIS 08,75,108,,CM,18,,,,,,,,,,,,0,2,Appartement,,170,5,S,,1316
,,,,,,,000001,07/01/2025,Vente,"26000000,00",51,,RUE,6419,DE MONCEAU,75008,PARIS 08,75,108,,CM,18,,,,,,,,,,,,0,3,Dépendance,,0,0,S,,1316
,,,,,,,000001,07/01/2025,Vente,"26000000,00",51,,RUE,6419,DE MONCEAU,75008,PARIS 08,75,108,,CM,18,,,,,,,,,,,,0,2,Appartement,,72,3,S,,1316
,,,,,,,000001,07/01/2025,Vente,"26000000,00",51,,RUE,6419,DE MONCEAU,75008,PARIS 08,75,108,,CM,18,,,,,,,,,,,,0,2,Appartement,,108,4,S,,1316
,,,,,,,000001,07/01/2025,Vente,"26000000,00",51,,RUE,6419,DE MONCEAU,75008,PARIS 08,75,108,,CM,18,,,,,,,,,,,,0,2,Appartement,,48,1,S,,1316
,,,,,,,000001,07/01/2025,Vente,"26000000,00",51,,RUE,6419,DE MONCEAU,75008,PARIS 08,75,108,,CM,18,,,,,,,,,,,,0,2,Appartement,,180,3,S,,1316
,,,,,,,000001,07/01/2025,Vente,"26000000,00",51,,RUE,6419,DE MONCEAU,75008,PARIS 08,75,108,,CM,18,,,,,,,,,,,,0,2,Appartement,,215,4,S,,1316
,,,,,,,000001,07/01/2025,Vente,"26000000,00",51,,RUE,6419,DE MONCEAU,75008,PARIS 08,75,108,,CM,18,,,,,,,,,,,,0,2,Appartement,,160,3,S,,1316
,,,,,,,000001,07/01/2025,Vente,"26000000,00",51,,RUE,6419,DE MONCEAU,75008,PARIS 08,75,108,,CM,18,,,,,,,,,,,,0,2,Appartement,,90,4,S,,1316
,,,,,,,000001,07/01/2025,Vente,"26000000,00",51,,RUE,6419,DE MONCEAU,75008,PARIS 08,75,108,,CM,18,,,,,,,,,,,,0,2,Appartement,,57,1,S,,1316
,,,,,,,000001,07/01/2025,Vente,"26000000,00",51,,RUE,6419,DE MONCEAU,75008,PARIS 08,75,108,,CM,18,,,,,,,,,,,,0,2,Appartement,,27,2,S,,1316
,,,,,,,000001,07/01/2025,Vente,"26000000,00",51,,RUE,6419,DE MONCEAU,75008,PARIS 08,75,108,,CM,18,,,,,,,,,,,,0,2,Appartement,,173,5,S,,1316
,,,,,,,000001,07/01/2025,Vente,"26000000,00",53,,RUE,6419,DE MONCEAU,75008,PARIS 08,75,108,,CM,19,,65,,,,,,,,,,1,3,Dépendance,,0,0,,,
,,,,,,,000001,07/01/2025,Vente,"26000000,00",53,,RUE,6419,DE MONCEAU,75008,PARIS 08,75,108,,CM,19,,66,,,,,,,,,,1,3,Dépendance,,0,0,,,
,,,,,,,000001,06/01/2025,Vente,"920000,00",14,,CITE,0364,D ANTIN,75009,PARIS 09,75,109,,AP,72,,21,,7,"74,12",,,,,,,2,2,Appartement,,70,3,,,
,,,,,,,000001,06/01/2025,Vente,"920000,00",14,,CITE,0364,D ANTIN,75009,PARIS 09,75,109,,AP,72,,21,,7,"74,12",,,,,,,2,3,Dépendance,,0,0,,,
,,,,,,,000001,07/01/2025,Vente,"271000,00",123,,AV,4903,JEAN JAURES,75019,PARIS 19,75,119,,AZ,44,,33,"36,32",,,,,,,,,1,2,Appartement,,21,1,,,
,,,,,,,000001,07/01/2025,Vente,"271000,00",123,,AV,4903,JEAN JAURES,75019,PARIS 19,75,119,,AZ,44,,33,"36,32",,,,,,,,,1,3,Dépendance,,0,0,,,
,,,,,,,000001,07/01/2025,Vente,"270000,00",21,,RUE,7346,DES PETITS CARREAUX,75002,PARIS 02,75,102,,AJ,80,,26,"24,00",,,,,,,,,1,2,Appartement,,22,1,,,
,,,,,,,000001,03/01/2025,Vente,"562136,00",10,,RUE,5985,DES MARAICHERS,75020,PARIS 20,75,120,,EC,3,,4,"69,90",,,,,,,,,1,2,Appartement,,63,2,,,
,,,,,,,000001,03/01/2025,Vente,"562136,00",10,,RUE,5985,DES MARAICHERS,75020,PARIS 20,75,120,,EC,3,,39,,,,,,,,,,1,3,Dépendance,,0,0,,,
,,,,,,,000001,07/01/2025,Vente,"220000,00",68,,RUE,8149,RENNEQUIN,75017,PARIS 17,75,117,,BF,70,,51,,60,"28,04",,,,,,,2,3,Dépendance,,0,0,,,
