idu,id_adr,type_lien,nb_adr,nb_parc
75104000AG0099,75104_8548_00046,GEO,1,1
75104000AH0037,75104_8548_00014,GEO,1,1
75101000AY0054,75101_6034_00006,GEO,1,1
75104000AH0014,75104_9783_00046,GEO,3,1
75101000AK0027,75101_6kk03p_00013,GEO,1,1
75104000AN0011,75104_8953_00011,GEO,1,1
75101000AZ0003,75101_6033_00029,GEO,6,1
75101000AZ0030,75101_6033_00019,GEO,1,1
75101000AZ0003,75101_2543_00033,GEO,6,1
75104000AN0024,75104_8953_00032,GEO,3,1
75101000AO0154,75101_7525_00003,GEO,3,1
75101000AN0019,75101_2762_00001,GEO,2,1
75101000AZ0087,75101_6033_00018,GEO,1,1
75104000AF0067,75104_8549_00011_a,GEO,1,1
75104000AI0010,75104_2751_00014,GEO,4,1
75104000AN0015,75104_8953_00015,GEO,1,1
75104000AI0010,75104_4659_00012,GEO,4,1
75101000AO0154,75101_7525_00001,GEO,3,1
75104000AN0050,75104_4831_00010,GEO,2,1
75101000AZ0003,75101_2543_00031,GEO,6,1
75103000AN0001,75103_7061_00003,GEO,2,1
75104000AN0048,75104_8953_00016,GEO,1,1
75102000AO0047,75102_6828_00003,GEO,1,1
75103000AD0021,75103_9504_00051,GEO,2,1
75104000AN0024,75104_8953_00034,GEO,3,1
75101000AZ0003,75101_9653_00022,GEO,6,1
75104000AJ0004,75104_8548_00023,GEO,1,1
75101000AL0033,75101_6920_00074,GEO,2,1
75102000AO0048,75102_6828_00001,GEO,2,1
75101000AV0024,75101_0773_00083,GEO,4,1
75104000AH0014,75104_6021_00005,GEO,3,1
75104000AJ0034,75104_6618_00012,GEO,2,1
75104000AH0034,75104_8548_00008,GEO,1,1
75101000AY0053,75101_6034_00004,GEO,1,1
75101000AN0047,75101_4905_00013,GEO,2,1
75101000AZ0029,75101_6033_00017,GEO,1,1
75104000AN0019,75104_8953_00017,GEO,1,1
75104000AH0014,75104_6021_00003,GEO,3,1
75101000AN0019,75101_8590_00017,GEO,2,1
75101000AL0033,75101_4592_00029,GEO,2,1
75104000AN0024,75104_3820_00021,GEO,3,1
75104000AN0043,75104_8953_00026,GEO,1,1
75101000AV0024,75101_0773_00084,GEO,4,1
75102000AO0207,75102_5850_00025,GEO,3,1
75101000AV0024,75101_0776_00015,GEO,4,1
75104000AN0050,75104_8953_00014,GEO,2,1
75101000AV0024,75101_0773_00085,GEO,4,1
75104000AF0068,75104_8549_00011,GEO,1,1
75101000AN0047,75101_8590_00013,GEO,2,1
75104000AF0025,75104_8548_00039,GEO,1,1
75103000AN0006,75103_8953_00044,GEO,1,1
75104000AN0046,75104_8953_00020,GEO,1,1
75101000AZ0003,75101_4228_00003_b,GEO,6,1
75101000AZ0003,75101_9653_00024,GEO,6,1
75101000AZ0023,75101_6034_00005,GEO,1,1
