Geo Shape;DEP;INSEE_COM;NOM_COM;IRIS;CODE_IRIS;NOM_IRIS;TYP_IRIS;Geo Point;ID
"{""coordinates"": [[[2.367251725976692, 48.86099057751031], [2.367327839507425, 48.86067171197265], [2.367612199287384, 48.85947888224859], [2.36783451579174, 48.85856811824061], [2.367246641546234, 48.85849126466816], [2.367145069191267, 48.85843766599865], [2.367376053927299, 48.85771131434333], [2.364478437925173, 48.858155527917035], [2.36460738071791, 48.861329110520714], [2.366969473802648, 48.860998977625066], [2.367251725976692, 48.86099057751031]]], ""type"": ""Polygon""}";75;75103;Paris 3e Arrondissement;1101;751031101;Les Archives 1;H;48.85951568433941, 2.3660194604031526;IRIS____0000000751031101
"{""coordinates"": [[[2.352304484939423, 48.843784203340405], [2.35239820236455, 48.84446642651274], [2.351704637798709, 48.84643766511975], [2.351985864738388, 48.846396019459604], [2.352814342194144, 48.84595891849874], [2.353635974294777, 48.845743017255984], [2.354347550324824, 48.84605084317006], [2.354544687713377, 48.84608698193486], [2.354921400212138, 48.84383521679328], [2.355006649983132, 48.84366299908139], [2.35301558898725, 48.843688222097505], [2.352304484939423, 48.843784203340405]]], ""type"": ""Polygon""}";75;75105;Paris 5e Arrondissement;1702;751051702;Saint-Victor 2;H;48.84487388805265, 2.3534321105693463;IRIS____0000000751051702
"{""coordinates"": [[[2.323287262396386, 48.849819285566745], [2.324162209437006, 48.850235238196596], [2.326867309541756, 48.851395370785916], [2.326969194686432, 48.85131500173384], [2.327918332944669, 48.84809613470846], [2.326857913979301, 48.84695338092175], [2.32666283214302, 48.84697027036828], [2.325415764865039, 48.84898680681743], [2.324605350047455, 48.84853435336278], [2.323287262396386, 48.849819285566745]]], ""type"": ""Polygon""}";75;75106;Paris 6e Arrondissement;2309;751062309;Notre-Dame des Champs 9;H;48.84934139933366, 2.326038103330665;IRIS____0000000751062309
"{""coordinates"": [[[2.324162209437006, 48.850235238196596], [2.323287262396386, 48.849819285566745], [2.320555394566371, 48.84842508368592], [2.319565907300404, 48.850523962850126], [2.319020489890948, 48.85169452303179], [2.319099675496175, 48.85272653718763], [2.319955112133921, 48.854951913299644], [2.323846304121677, 48.85399636514559], [2.323516200569286, 48.85170923333956], [2.324162209437006, 48.850235238196596]]], ""type"": ""Polygon""}";75;75107;Paris 7e Arrondissement;2503;751072503;Saint-Thomas d'Aquin 3;H;48.85187160779236, 2.321464758953715;IRIS____0000000751072503
"{""coordinates"": [[[2.365149111645989, 48.82917629928159], [2.365049157845663, 48.82910651700313], [2.364796354308916, 48.829171728105486], [2.362214053972254, 48.83024802376572], [2.360692523930334, 48.8292406978641], [2.360341690156636, 48.829412400821774], [2.360088824053962, 48.829482098521865], [2.359933931512251, 48.82956041441793], [2.358846555037387, 48.83058347148346], [2.358033245550308, 48.83158280695349], [2.361895693761864, 48.83288597790049], [2.362174183267848, 48.83272737558683], [2.363677050117795, 48.83159138221554], [2.363875364181231, 48.831192217316726], [2.365149111645989, 48.82917629928159]]], ""type"": ""Polygon""}";75;75113;Paris 13e Arrondissement;5029;751135029;Gare 29;H;48.83098237587135, 2.3614785807113283;IRIS____0000000751135029
"{""coordinates"": [[[2.358512373800332, 48.822204901562465], [2.358340152561356, 48.822807460219096], [2.361867929752779, 48.82369153871465], [2.363153433085811, 48.82204263803201], [2.363324937964329, 48.82182859994813], [2.360890616340624, 48.82108262042645], [2.360580236481662, 48.82251367091356], [2.358512373800332, 48.822204901562465]]], ""type"": ""Polygon""}";75;75113;Paris 13e Arrondissement;5104;751135104;Maison Blanche 4;H;48.82247484829129, 2.3611136079145343;IRIS____0000000751135104
"{""coordinates"": [[[2.341263603808228, 48.83309250131337], [2.341671904722567, 48.83538904274122], [2.342085567254399, 48.83834304472089], [2.345521063609997, 48.837632504590125], [2.344849273518455, 48.834172553624974], [2.344365019492123, 48.83400531542676], [2.342302165308337, 48.8334867450011], [2.341263603808228, 48.83309250131337]]], ""type"": ""Polygon""}";75;75113;Paris 13e Arrondissement;5206;751135206;Croulebarbe 6;H;48.83583777358334, 2.3433325184335247;IRIS____0000000751135206
"{""coordinates"": [[[2.329426131735775, 48.830784582036536], [2.327348407954735, 48.82837787808344], [2.326770977882546, 48.82783949990355], [2.326805222574929, 48.828035756791515], [2.326759742712344, 48.82818209915244], [2.326205769067125, 48.82941292326983], [2.325209198349687, 48.83189407547592], [2.329426131735775, 48.830784582036536]]], ""type"": ""Polygon""}";75;75114;Paris 14e Arrondissement;5512;751145512;Petit Montrouge 12;H;48.830178359234864, 2.327166459307388;IRIS____0000000751145512
"{""coordinates"": [[[2.340179357627927, 48.88969061258283], [2.342936951153016, 48.88979930602385], [2.34185891051005, 48.88833917594531], [2.341393947321576, 48.88714680998111], [2.341185057505752, 48.88662674880287], [2.340653400900846, 48.88671915102022], [2.340470387099836, 48.886848545584705], [2.340216930649176, 48.88694067928431], [2.339696303631185, 48.88702324542593], [2.339803989954437, 48.88853290985176], [2.340179357627927, 48.88969061258283]]], ""type"": ""Polygon""}";75;75118;Paris 18e Arrondissement;7008;751187008;Clignancourt 8;H;48.88841512225471, 2.340976933867294;IRIS____0000000751187008
"{""coordinates"": [[[2.349597519721272, 48.8915650688925], [2.35163297670859, 48.89118849905594], [2.351459240576514, 48.890464502252286], [2.351636332329081, 48.889057119561464], [2.351531212328244, 48.88829931857893], [2.350742358501664, 48.88670683380024], [2.350105123933055, 48.885972223732665], [2.349517533212377, 48.88541324837127], [2.349571472218448, 48.887427134855926], [2.349597519721272, 48.8915650688925]]], ""type"": ""Polygon""}";75;75118;Paris 18e Arrondissement;7017;751187017;Clignancourt 17;H;48.88892305702538, 2.350452026851966;IRIS____0000000751187017
